sno,count,RMSE,MAE,R2
500101019,8741,0.317058425,0.036653358,0.997369672
500105028,8655,0.316969923,0.024140805,0.998002725
500101201,8800,0.316642599,0.041751851,0.996714253
500106136,8677,0.316627716,0.027387571,0.993450134
500104041,8717,0.315521804,0.037562005,0.997860427
500107155,8623,0.3143985,0.025269396,0.99596442
500101207,8733,0.314144362,0.035028646,0.998736317
500104104,8705,0.314065975,0.024539173,0.993911137
500112069,8743,0.313532565,0.035259255,0.997529047
500101229,8769,0.31330797,0.040156979,0.996746119
500104008,8668,0.313289513,0.030741271,0.998940791
500109019,8660,0.312904767,0.026814995,0.999160688
500110057,8779,0.312790567,0.036779645,0.994485678
500112110,8785,0.312030867,0.038316126,0.995920224
500106053,8690,0.312021903,0.032152839,0.996929941
500104075,8683,0.312012636,0.029530769,0.997806931
500112048,8772,0.311450201,0.039990677,0.992389988
500112019,8804,0.311001198,0.0397546,0.995733019
500112109,8682,0.310757615,0.031276231,0.99660634
500112023,8697,0.310585215,0.028352897,0.998480884
500110008,8729,0.310521763,0.034146905,0.997324595
500112045,8736,0.31031528,0.036758457,0.999650898
500103001,8627,0.31024914,0.022850025,0.997774056
500106049,8690,0.310218864,0.024136133,0.994757258
500103051,8757,0.309479173,0.037694968,0.997014735
500104073,8718,0.309058063,0.031572139,0.99795249
500112107,8648,0.30816703,0.025496336,0.997281534
500106106,8738,0.307900433,0.032932781,0.997695516
500101232,8811,0.307282473,0.040284342,0.994233142
500101226,8683,0.307209503,0.028397951,0.998719844
500112115,8714,0.307039288,0.033465247,0.997600108
500108057,8686,0.306885373,0.028538211,0.998860829
500112014,8749,0.305812613,0.033712653,0.99817438
500101172,8802,0.305618524,0.03974199,0.998802478
500111005,8691,0.30439657,0.031975032,0.998251056
500103048,8751,0.30376239,0.03757662,0.998291613
500107136,8701,0.303532512,0.026421178,0.996734368
500106005,8802,0.303393444,0.041278175,0.997354073
500105069,8649,0.30283241,0.025114002,0.997140706
500103025,8713,0.30157626,0.030991469,0.99815302
500110006,8796,0.301379198,0.038977168,0.997481895
500111028,8667,0.300945904,0.024310257,0.997551473
500119057,8696,0.300426343,0.029525433,0.995568713
500101033,8778,0.299300015,0.036642122,0.999224185
500108181,8633,0.29859818,0.019949303,0.997307071
500109068,8646,0.298593188,0.023349102,0.998760526
500101248,8695,0.298549502,0.027402281,0.996448316
500108189,8644,0.298215547,0.02085408,0.998210402
500109007,8662,0.297942348,0.026772878,0.99910418
500107113,8669,0.297734444,0.02352955,0.996842287
500113028,8663,0.297700961,0.025185155,0.996210195
500101039,8694,0.297356826,0.027726507,0.998174188
500106047,8616,0.297145837,0.01751768,0.997985408
500104044,8733,0.296752508,0.037956468,0.999101405
500107122,8781,0.295978316,0.035481047,0.997585623
500101028,8697,0.295835277,0.029068456,0.996228488
500111004,8689,0.295679115,0.028699582,0.998965173
500106017,8716,0.295531352,0.030764188,0.99891098
500101104,8762,0.295501544,0.033026701,0.996536291
500106018,8695,0.295413614,0.027079298,0.999634773
500103039,8644,0.295400425,0.024376934,0.999390416
500101218,8705,0.294950262,0.026908446,0.998165116
500107040,8673,0.294758918,0.023875034,0.998746461
500112094,8679,0.294732997,0.024562968,0.995726612
500109079,8626,0.294652131,0.015786032,0.998749905
500106117,8645,0.293203252,0.019198573,0.99861241
500101153,8767,0.292710828,0.037544675,0.997292673
500105019,8627,0.292336172,0.021013253,0.998503501
500105009,8668,0.292134749,0.022526153,0.998274887
500110011,8666,0.291796668,0.024360566,0.99791058
500113086,8636,0.29128295,0.021327235,0.994716479
500112073,8654,0.290785251,0.018373074,0.998185213
500106019,8725,0.290406597,0.033592894,0.9961279
500109036,8732,0.290113803,0.030468087,0.998938095
500106080,8774,0.290068337,0.03730395,0.998140258
500104071,8720,0.290047264,0.031673277,0.996108455
500101026,8692,0.289970468,0.028830293,0.999081774
500111097,8645,0.28987069,0.023910064,0.998047935
500113026,8639,0.2897643,0.022790639,0.99777237
500110071,8783,0.289757267,0.035603701,0.998027454
500111040,8617,0.289736537,0.019151543,0.997141871
500101194,8672,0.289132324,0.025703831,0.998869814
500104036,8642,0.28876116,0.02268385,0.998326513
500103005,8722,0.288722885,0.031635156,0.999288033
500112050,8677,0.287988589,0.027462989,0.998674824
500110088,8736,0.287518681,0.029081464,0.995725067
